Gebied;Locatienummer;Locatienaam;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Strabrechtse Heide;4;Starven;6,0;5,1;6,3;6,2;5,8;6,1;6,4;5,6;6,0;7,4;5,5;7,0;6,3;
Strabrechtse Heide;5;Peelrijt;4,9;4,9;5,5;4,4;4,7;4,0;4,6;4,1;4,3;;;;;
Strabrechtse Heide;6;Rulsedijk;;3,6;6,3;4,6;4,3;4,4;5,5;4,1;4,7;4,7;4,5;5,2;5,0;
Strabrechtse Heide;7;Berkenheuvels;;4,0;4,5;4,0;3,5;3,7;4,5;3,9;4,0;4,3;3,8;4,8;4,8;
Strabrechtse Heide;8;Zandverstuiving;;4,9;5,1;4,8;4,6;4,6;5,4;4,5;4,6;5,1;4,5;5,4;5,2;
Terschelling;1;Oude Scherm;;;2,1;2,4;1,7;1,4;1,8;1,8;1,5;;1,8;1,7;;
Terschelling;2;Groede;;1,7;1,7;1,7;1,5;1,0;1,5;1,9;1,7;;1,5;1,7;;
Terschelling;3;Rimkeskooi;;;2,1;2,2;2,6;2,0;2,5;2,9;2,4;;2,0;2,5;;
Terschelling;4;Stuifdijk Paal 22;;1,6;1,6;2,1;1,1;1,1;1,4;1,6;1,6;;1,2;1,3;;
Terschelling;5;Tweede Duintjes Noord;;;2,5;2,4;2,3;1,5;2,4;2,2;1,8;;2,0;2,8;;
Terschelling;6;Tweede Duintjes Zuid;;;2,5;3,1;2,9;1,9;2,1;1,8;1,8;;2,2;2,7;;
Terschelling;7;Jan Thijssen;;;;;;;;1,3;1,3;;;;;
Van Oordt's Mersken;1;Terwispel;;;;;;;;5,7;5,2;6,8;4,7;6,9;5,9;
Van Oordt's Mersken;2;Waterpeilbuis B20;;;;;;;;4,0;3,8;4,9;4,0;5,1;5,0;
Van Oordt's Mersken;3;De Dulf;;;;;;;;7,5;6,8;8,0;6,2;8,4;9,0;
Vechtstreek;1;Eerderveld;;;;;;;;3,3;3,4;3,3;3,2;3,9;3,7;
Vechtstreek;2;Houtprathoek;;;;;;;;3,0;3,4;3,5;2,8;4,0;4,0;
Vechtstreek;3;Junner Koeland;;;;;;;;4,3;4,6;4,8;4,4;5,2;5,9;
Vechtstreek;4;Beerzer Hooiweg;;;;;;;;6,5;5,0;6,7;5,5;6,6;7,1;
Vechtstreek;5;Archemerberg;;;;;;;;6,5;5,3;8,1;5,0;6,6;7,0;
Vechtstreek;6;Lemelerberg;;;;;;;;6,7;7,5;8,4;6,9;8,6;8,4;
Veluwe A50;4;Rozendaalse heide;2,2;2,5;2,8;3,1;2,9;2,2;3,4;3,0;2,8;2,6;2,1;2,6;3,1;
Veluwe A50;12;Rozendaalse heide A50-1;;3,8;4,4;4,1;5,0;3,9;3,9;4,8;5,1;4,6;4,0;5,3;5,3;
Veluwe A50;13;Rozendaalse heide A50-2;;2,9;3,4;3,2;2,7;2,6;3,1;3,1;3,2;3,0;2,3;3,2;3,5;
Veluwe A50;14;Rozendaalse heide A50-3;;2,3;3,5;4,0;3,1;2,3;2,6;2,9;2,8;2,6;2,2;3,1;2,8;
Veluwe Algemeen;1;Het Leesten;1,7;2,3;2,5;2,2;2,3;2,5;2,6;2,6;2,6;2,3;2,2;2,7;2,9;
Veluwe Algemeen;2;Hoog Buurlose heide;2,5;2,2;2,8;3,4;3,0;2,8;3,4;3,4;3,4;2,9;2,9;3,2;4,1;
Veluwe Algemeen;3;Tonnenberg;2,1;3,0;3,0;4,8;3,1;2,5;3,4;3,7;3,1;3,4;3,0;3,3;3,7;
Veluwe Algemeen;4;Rozendaalse heide;2,2;2,5;2,8;3,1;2,9;2,2;3,4;3,0;2,8;2,6;2,1;2,6;3,1;
Veluwe Algemeen;5;Grote Ark;3,5;3,4;4,2;5,4;6,9;3,1;4,0;3,9;4,3;4,0;4,0;4,4;4,5;
Veluwe Algemeen;10;Kootwijk, de Houtbeek 4;;2,5;3,4;4,3;3,6;3,1;4,0;3,6;3,3;3,6;4,0;4,3;4,9;
Veluwe Algemeen;11;Kootwijkerzand;;3,7;3,9;5,0;5,1;4,5;6,1;5,1;5,6;4,9;4,0;4,8;5,4;
Veluwe Doorsnede;1;Het Leesten;1,7;2,3;2,5;2,2;2,3;2,5;2,6;2,6;2,6;2,3;2,2;2,7;2,9;
Veluwe Doorsnede;2;Hoog Buurlose heide;2,5;2,2;2,8;3,4;3,0;2,8;3,4;3,4;3,4;2,9;2,9;3,2;4,1;
Veluwe Doorsnede;7;Kootwijk, de Houtbeek 1;;5,6;5,4;6,3;7,2;5,8;6,0;6,3;5,9;5,6;5,6;6,8;7,5;
Veluwe Doorsnede;8;Kootwijk, de Houtbeek 2;;4,3;5,7;4,8;5,4;5,0;6,3;5,8;5,3;5,2;5,4;5,8;6,3;
Veluwe Doorsnede;9;Kootwijk, de Houtbeek 3;;2,9;4,4;4,3;4,1;3,5;4,3;4,3;4,2;4,2;4,2;4,4;5,5;
Veluwe Doorsnede;10;Kootwijk, de Houtbeek 4;;2,5;3,4;4,3;3,6;3,1;4,0;3,6;3,3;3,6;4,0;4,3;4,9;
Veluwe Doorsnede;11;Kootwijkerzand;;3,7;3,9;5,0;5,1;4,5;6,1;5,1;5,6;4,9;4,0;4,8;5,4;
Veluwe Doorsnede;15;Radio Kootwijk;;;;;;;;;;;;3,7;4,8;
Vlieland;1;Cranberryvlakte;1,3;2,1;2,2;2,2;1,1;0,8;1,3;0,9;1,2;1,3;1,0;1,4;1,2;
Vlieland;2;Pad van twintig, zeereep;1,0;2,4;2,5;1,9;1,5;1,1;2,0;1,5;1,7;1,8;1,3;1,6;1,5;
Vlieland;3;Pad van twintig, halverwege (plot 13);2,3;1,6;1,7;2,8;2,2;1,3;2,2;1,9;1,8;1,7;1,4;1,6;1,6;
Vlieland;4;Pad van twintig, wadzijde;2,4;3,6;1,8;2,2;1,9;1,1;2,5;1,8;1,8;2,5;1,4;2,2;1,4;
Vlieland;5;Cranberryvlakte Noord;;2,3;1,9;1,0;1,3;1,1;2,1;2,0;;1,9;;2,2;1,9;
Vlieland;6;Lange Paal wadzijde;;2,2;2,2;2,0;1,9;1,1;1,8;1,2;1,5;2,1;1,3;1,8;1,5;
Vlijmens Ven & Moerputten;1;Bossche Broek;;;;;;;;;;;;7,2;7,2;
Vlijmens Ven & Moerputten;2;Moerputtenbrug;;;;;;;;;;;;5,4;5,4;
Voornes duin;1;Quackgors;1,8;3,8;1,9;2,2;2,4;1,8;2,7;2,0;2,1;2,1;2,0;2,8;2,4;
Voornes duin;2;Stekelhoekvallei;1,6;2,1;1,5;2,0;1,8;1,6;2,3;1,5;2,1;2,5;2,4;2,5;2,1;
Voornes duin;3;Schapenwei;1,5;2,7;1,6;2,8;2,5;1,8;2,6;2,3;2,5;2,7;2,3;2,9;2,7;
Voornes duin;4;Slikken van Voorne;;;;;;;;;;2,7;1,9;2,4;2,3;
Weerter- en Budelerbergen & Ringselven;1;Loozerheide;;;;;;;;;;;;5,2;4,8;
Weerter- en Budelerbergen & Ringselven;2;Budelerbergen;;;;;;;;;;;;4,3;4,6;
Westerschelde & Saeftinghe;1;Kop Rijksdam;;;;;;;;;4,3;4,6;4,0;5,5;6,2;
Westerschelde & Saeftinghe;2;Schaapskooi;;;;;;;;;4,3;4,3;3,7;4,5;4,6;
Westerschelde & Saeftinghe;3;Biezelingse Ham;;;;;;;;;7,2;6,1;6,5;5,7;6,0;
Willeskop;1;Molen;;;;;;;;;;;7,1;10,7;8,6;
Witte Veen;1;Hegebeek;5,3;4,7;5,4;5,5;5,5;4,6;5,8;5,8;5,1;5,8;4,5;5,9;6,1;
Witte Veen;2;Bramerveld;6,3;6,7;6,3;5,4;5,3;5,2;7,1;6,1;5,3;6,4;5,0;6,0;6,4;
Wooldse Veen;1;WPB3;;5,7;4,1;5,2;4,7;3,9;5,2;5,5;4,5;5,6;4,3;4,6;5,4;
Wooldse Veen;2;Duitse Grens;;3,9;3,3;3,4;3,9;3,5;4,6;5,2;4,8;5,0;4,3;4,7;5,1;
Wooldse Veen;3;Burloervenn;;;;;;;;4,8;4,5;5,2;4,7;5,8;5,9;
Wormer- en Jisperveld & Kalverpolder;1;Grote Harren;;;;;;;;;;5,2;4,0;5,2;;
Wormer- en Jisperveld & Kalverpolder;2;Woeste Heide;;;;;;;;3,9;;4,7;3,4;4,7;;
Wormer- en Jisperveld & Kalverpolder;3;Baanakkers;;;;;;;;3,9;;4,5;3,4;4,3;;
Wormer- en Jisperveld & Kalverpolder;4;Kalverpolder;;;;;;;;4,5;5,7;5,3;3,5;5,3;5,5;
Yerseke & Kapelse Moer;1;Manege;;;;;;;;;5,6;5,2;5,1;5,9;6,5;
Yerseke & Kapelse Moer;2;Eversdijk;;;;;;;;;4,9;4,7;4,1;5,2;5,4;
Zwanenwater;1;Zeereep;1,7;2,8;2,5;2,2;1,6;1,2;1,6;1,3;1,7;1,8;1,8;2,0;1,7;
Zwanenwater;2;Heksenbos;1,6;1,7;1,4;2,0;1,3;1,3;1,9;1,9;2,7;2,8;2,5;3,3;2,7;
Zwanenwater;3;Zijpedijk;1,9;2,1;2,4;3,2;2,3;1,6;2,3;2,3;2,7;2,3;2,3;3,1;2,5;
Zwanenwater;4;Theehuis;1,6;1,8;1,8;2,2;1,5;1,1;1,9;1,2;2,3;2,1;1,7;2,0;1,8;
Zwanenwater;5;De Putten;;;;;;;;;;;2,7;2,5;2,5;
